typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","M","Import","643","RUS","Russian Federation","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1672840000","false","8","kg","1672840000","false","1672840000","false","0","false","906539466.97",,"906539466.97","0","false","true",
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","M","Import","795","TKM","Turkmenistan","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","161503000","false","8","kg","161503000","false","161503000","false","0","false","90824816.68",,"90824816.68","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9201576099.46","false","7","l","9201576099.46","false","9201576099.46","false","0","false","5378538279.34","5123003339.975","5378538279.34","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","12","DZA","Algeria","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","151384000","false","7","l","151384000","false","151384000","false","121319","false","96921277.503","92909380.111","96921277.503","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","31","AZE","Azerbaijan","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60432700","false","7","l","60432700","false","60432700","false","49627.1","false","35524952.748","33793291.041","35524952.748","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92149200","false","7","l","92149200","false","92149200","false","74696","false","47551452.201","45499286.833","47551452.201","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","169534500","false","7","l","169534500","false","169534500","false","145968.8","false","94715620.245","90399301.047","94715620.245","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","96","BRN","Brunei Darussalam","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","963702000","false","7","l","963702000","false","963702000","false","820504","false","592901784.294","563974975.275","592901784.294","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","193970800","false","7","l","193970800","false","193970800","false","162745.2","false","104792573.82","100667002.863","104792573.82","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","430","LBR","Liberia","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","101489000","false","7","l","101489000","false","101489000","false","83049.2","false","62375521.949","59703029.381","62375521.949","0","false","true",
