source,target,weight,year
AUS,MYS,110782026.0,1989
AUS,OMN,8992377.0,1989
AUS,NZL,65719678.0,1989
AUS,PNG,1049.0,1989
AUS,QAT,13739736.0,1989
AUS,SAU,180296614.0,1989
AUS,SGP,14680698.0,1989
AUS,ARE,338487835.0,1989
AUS,GBR,1164.0,1989
AUS,USA,21294.0,1989
PRT,MEX,55220792.0,1989
PRT,NER,22897092.0,1989
PRT,NGA,337301120.0,1989
PRT,NOR,28371932.0,1989
PRT,QAT,17386004.0,1989
PRT,SAU,124327632.0,1989
PRT,ESP,4210116.0,1989
PRT,ARE,142026992.0,1989
PRT,SUN,17566218.0,1989
PRT,EGY,100254032.0,1989
PRT,LBY,12425081.0,1989
PRT,IRQ,147015312.0,1989
PRT,IRN,79489512.0,1989
PRT,AGO,43665868.0,1989
PRT,DZA,86134448.0,1989
PRT,GBR,86958264.0,1989
PRT,IDN,11624000.0,1989
MEX,DEU,1000.0,1989
NGA,DNK,22128.0,1989
NOR,DNK,37900112.0,1989
ESP,VEN,6668871.0,1989
ESP,GBR,55044040.0,1989
ESP,SUN,608216320.0,1989
ESP,DZA,287687680.0,1989
ESP,CMR,20668276.0,1989
ESP,COL,17453498.0,1989
ESP,COG,57636356.0,1989
ESP,COD,5573438.0,1989
ESP,TUN,24916604.0,1989
ESP,ARE,92612864.0,1989
ESP,SYR,31962152.0,1989
ESP,SAU,415122400.0,1989
ESP,PAN,4467046.0,1989
ESP,NOR,69694152.0,1989
ESP,EGY,88343312.0,1989
ESP,NGA,1250813952.0,1989
ESP,LBY,552089408.0,1989
ESP,KWT,11183786.0,1989
ESP,ITA,48293008.0,1989
ESP,IRQ,646016064.0,1989
ESP,IRN,777799616.0,1989
ESP,CUB,7775150.0,1989
ESP,MEX,974912576.0,1989
ESP,DEU,1000.0,1989
ROU,CHN,66416000.0,1989
ROU,IRN,1013534976.0,1989
ROU,IRQ,54288000.0,1989
ROU,LBY,11519000.0,1989
ROU,SAU,517758016.0,1989
ROU,SYR,104368000.0,1989
ROU,SUN,434891008.0,1989
ROU,EGY,148095008.0,1989
ROU,YUG,18374000.0,1989
ROU,KWT,139470000.0,1989
CHN,MYS,50736979.0,1989
CHN,IDN,230744000.0,1989
IND,IRN,220889488.0,1989
IND,IRQ,235443696.0,1989
IND,KWT,258962864.0,1989
IND,MYS,67575312.0,1989
IND,SAU,597589568.0,1989
IND,ARE,629139072.0,1989
IND,SUN,421149760.0,1989
KWT,DEU,4000.0,1989
MYS,DEU,1418.0,1989
MYS,IRN,5507886.0,1989
MYS,JPN,917.0,1989
MYS,ARE,34127091.0,1989
MYS,SAU,52360149.0,1989
MYS,KWT,25162129.0,1989
MYS,SGP,889.0,1989
KOR,JPN,8156.0,1989
KOR,KWT,242187088.0,1989
KOR,MYS,504116416.0,1989
KOR,OMN,1153498240.0,1989
KOR,NTZ,40186200.0,1989
KOR,PAN,6103.0,1989
KOR,QAT,61571704.0,1989
KOR,SAU,500660416.0,1989
KOR,SGP,2129.0,1989
KOR,ARE,797432512.0,1989
KOR,EGY,91754312.0,1989
KOR,USA,3421513.0,1989
KOR,IDN,217444064.0,1989
KOR,GAB,15795007.0,1989
KOR,CAN,12076052.0,1989
KOR,ECU,57760880.0,1989
KOR,CMR,50229396.0,1989
KOR,BRN,246085152.0,1989
KOR,AUS,35687328.0,1989
KOR,DZA,115277696.0,1989
JPN,AGO,69137431.0,1989
JPN,AUS,30253070.0,1989
JPN,BRN,218748413.0,1989
JPN,CAN,15504255.0,1989
JPN,CHN,1531070472.0,1989
JPN,GAB,10409657.0,1989
JPN,IDN,2878239774.0,1989
JPN,IRN,1691908237.0,1989
JPN,IRQ,1190697819.0,1989
JPN,KWT,970154363.0,1989
JPN,MYS,507146275.0,1989
JPN,YEM,94134909.0,1989
JPN,ARE,4429483376.0,1989
JPN,THA,8461.0,1989
JPN,VNM,177923119.0,1989
JPN,QAT,1319179684.0,1989
JPN,OMN,1379098488.0,1989
JPN,MEX,961703908.0,1989
JPN,USA,4183.0,1989
JPN,SAU,3650111150.0,1989
SGP,AUS,88702440.0,1989
SGP,BRN,61865932.0,1989
SGP,CHN,395528000.0,1989
SGP,IRN,332834624.0,1989
SGP,KWT,143142528.0,1989
SGP,MYS,734137024.0,1989
SGP,OMN,150296800.0,1989
SGP,PAK,13868949.0,1989
SGP,QAT,92795456.0,1989
SGP,SAU,1769833088.0,1989
SGP,ARE,749226112.0,1989
SGP,EGY,62708076.0,1989
SGP,YEM,54632132.0,1989
SGP,IDN,155863008.0,1989
USA,MYS,211719383.0,1989
USA,IDN,1313630976.0,1989
USA,OMN,94405192.0,1989
USA,CAN,3673042326.0,1989
USA,AUS,226649019.0,1989
USA,CHE,2751.0,1989
DEU,DZA,613833024.0,1989
DEU,AGO,34254000.0,1989
DEU,FRA,6000.0,1989
DEU,IRN,253426000.0,1989
DEU,IRQ,115556000.0,1989
DEU,ITA,4231000.0,1989
DEU,KWT,79524000.0,1989
DEU,MEX,29761000.0,1989
DEU,NLD,3296000.0,1989
DEU,NGA,629536000.0,1989
DEU,NOR,773411008.0,1989
DEU,QAT,15960000.0,1989
DEU,SAU,655592000.0,1989
DEU,IND,3552000.0,1989
DEU,YMD,70548000.0,1989
DEU,LBY,1572871936.0,1989
DEU,ARE,137732992.0,1989
DEU,SYR,274863008.0,1989
DEU,VEN,581977984.0,1989
DEU,GBR,2021980032.0,1989
DEU,EGY,81826000.0,1989
DEU,SUN,763289024.0,1989
DEU,TUN,16547000.0,1989
DEU,YEM,344139008.0,1989
DEU,CHE,867.0,1989
DZA,CYP,9674.0,1989
PRY,BRA,13083.0,1989
PRY,DZA,67148912.0,1989
BRA,VEN,36682320.0,1989
BRA,ARE,213397840.0,1989
BRA,QAT,161633120.0,1989
BRA,NGA,136862496.0,1989
BRA,OMN,31657064.0,1989
BRA,KWT,278395712.0,1989
BRA,JPN,722.0,1989
BRA,IRQ,1691862400.0,1989
BRA,IRN,365706144.0,1989
BRA,SAU,689913664.0,1989
BRA,GAB,44111380.0,1989
BRA,AGO,42667436.0,1989
BRA,DZA,127604472.0,1989
BRA,CHN,79910936.0,1989
BRA,CAN,77471.0,1989
NZL,ARE,74295072.0,1989
NZL,SAU,224304848.0,1989
NZL,IDN,55196448.0,1989
NZL,AUS,23786524.0,1989
NZL,OMN,8962782.0,1989
IDN,AUS,36847024.0,1989
IDN,IRN,132957176.0,1989
IDN,IRQ,276222592.0,1989
IDN,MYS,80730168.0,1989
IDN,SAU,49285376.0,1989
CHE,CMR,18979428.0,1989
CHE,LBY,69977048.0,1989
CHE,NGA,22574600.0,1989
CHE,NOR,129931352.0,1989
CHE,SAU,44501544.0,1989
CHE,GBR,129208784.0,1989
CHE,YEM,12053734.0,1989
GBR,MYS,7432939.0,1989
GBR,DEU,1000.0,1989
GBR,DNK,55611040.0,1989
THA,AUS,16882460.0,1989
THA,BMU,4083834.0,1989
THA,BRN,186711089.0,1989
THA,CAN,4477585.0,1989
THA,IRN,28613316.0,1989
THA,IRQ,21874786.0,1989
THA,KWT,118977687.0,1989
THA,ARE,252263902.0,1989
THA,SAU,231732676.0,1989
THA,QAT,94048124.0,1989
THA,OMN,54996761.0,1989
THA,MYS,203749334.0,1989
CAN,DZA,13223150.0,1989
CAN,AGO,74965129.0,1989
CAN,COL,8815257.0,1989
CAN,ECU,4041613.0,1989
CAN,DEU,21772.0,1989
CAN,IRN,119595174.0,1989
CAN,IRQ,51761118.0,1989
CAN,MEX,41719607.0,1989
CAN,NGA,406619436.0,1989
CAN,NOR,492454340.0,1989
CAN,SAU,188250425.0,1989
CAN,ARE,22424889.0,1989
CAN,GBR,1238255818.0,1989
CAN,USA,191461149.0,1989
CAN,VEN,192641107.0,1989
CAN,CHE,4357.0,1989
CAN,DNK,2013.0,1989
TUR,SUN,105365567.0,1989
TUR,SAU,137045946.0,1989
TUR,LBY,262815036.0,1989
TUR,IRQ,1534556069.0,1989
TUR,IRN,231363453.0,1989
TUR,CHN,33731309.0,1989
TUR,DZA,150694826.0,1989
ITA,IDN,10896000.0,1989
FIN,SAU,54388712.0,1989
FIN,SUN,1107741440.0,1989
FIN,GBR,17989380.0,1989
DNK,GBR,26295862.0,1989
DNK,SUN,2427967.0,1989
DNK,SAU,13924602.0,1989
DNK,NOR,147074256.0,1989
DNK,KWT,335630528.0,1989
DNK,CAN,4796665.0,1989
DNK,DEU,12765.0,1989
CYP,SUN,4203884.0,1989
CYP,IRQ,73145856.0,1989
CYP,DZA,14822156.0,1989
BGD,ARE,77155577.0,1989
BGD,SAU,39300269.0,1989
BGD,IRN,22202855.0,1989
GRC,GBR,8818408.0,1989
GRC,SUN,75817728.0,1989
GRC,EGY,16543997.0,1989
GRC,TUN,41030688.0,1989
GRC,LBY,163404464.0,1989
GRC,KWT,33883592.0,1989
GRC,IRQ,24816254.0,1989
GRC,SAU,109133592.0,1989
GRC,IRN,308007008.0,1989
GRC,CHE,1070.0,1989
FRA,OMN,27971908.0,1989
FRA,CHE,16248.0,1989
FRA,GRC,37219704.0,1989
NLD,OMN,3496488.0,1989
NLD,DNK,20615036.0,1989
NLD,DEU,9000.0,1989
PHL,MYS,148549563.0,1989
PHL,AUS,27535152.0,1989
LKA,MYS,8316556.0,1989
CHL,MYS,41070304.0,1989
SWE,CHE,550.0,1989
SWE,DNK,205987936.0,1989
ZWE,CHE,660.0,1989
TZA,AUS,950.0,1989
ISL,DNK,1824.0,1989
HUN,DEU,1000.0,1989
BEL,DEU,1000.0,1989
AUS,USA,153454.0,1990
AUS,ARE,308953402.0,1990
AUS,SYR,20334719.0,1990
AUS,SGP,1848315.0,1990
AUS,SAU,223366714.0,1990
AUS,PAK,2508582.0,1990
AUS,NZL,130817661.0,1990
AUS,MYS,87949147.0,1990
AUS,KWT,3734905.0,1990
AUS,IDN,169874374.0,1990
AUS,DEU,1242.0,1990
AUS,CHN,30100872.0,1990
AUS,BRN,27514733.0,1990
AUS,BHR,1884673.0,1990
AUS,OMN,30445525.0,1990
PRT,SAU,222939440.0,1990
PRT,QAT,8703105.0,1990
PRT,NOR,26268936.0,1990
PRT,NGA,549411200.0,1990
PRT,MEX,69232944.0,1990
PRT,LBY,54861864.0,1990
PRT,IRN,135374912.0,1990
PRT,ARE,79419896.0,1990
PRT,IDN,26336232.0,1990
PRT,DZA,215237872.0,1990
PRT,AGO,82394512.0,1990
PRT,TUN,4418535.0,1990
PRT,GBR,96487952.0,1990
PRT,EGY,157645616.0,1990
PRT,IRQ,128638608.0,1990
PRT,ESP,905.0,1990
NOR,DNK,52649488.0,1990
MEX,CHE,1017.0,1990
IDN,SAU,104790688.0,1990
IDN,MYS,154938336.0,1990
IDN,IRQ,166037264.0,1990
IDN,IRN,553534464.0,1990
IDN,AUS,192295488.0,1990
PRY,JPN,127503.0,1990
PRY,ARG,16802.0,1990
PRY,DZA,74895120.0,1990
JPN,YEM,50914227.0,1990
JPN,SUN,6644417.0,1990
JPN,EGY,21261037.0,1990
JPN,AGO,44935661.0,1990
JPN,AUS,243687547.0,1990
JPN,BRN,338832393.0,1990
JPN,CAN,11359960.0,1990
JPN,TUR,2177.0,1990
JPN,ARE,6724417138.0,1990
JPN,SYR,1491.0,1990
JPN,VNM,379364992.0,1990
JPN,SAU,6006183778.0,1990
JPN,QAT,1847921710.0,1990
JPN,PHL,3228154.0,1990
JPN,OMN,1722497215.0,1990
JPN,MEX,1158887509.0,1990
JPN,MYS,736667794.0,1990
JPN,KWT,855902590.0,1990
JPN,IRQ,928214093.0,1990
JPN,IDN,3803436895.0,1990
JPN,GAB,76079847.0,1990
JPN,CHN,2233031068.0,1990
JPN,IRN,3225270463.0,1990
NZL,ARE,91308632.0,1990
NZL,SAU,292418976.0,1990
NZL,OMN,72330802.0,1990
NZL,MYS,18182472.0,1990
NZL,IDN,58643916.0,1990
NZL,AUS,9219745.0,1990
GBR,DNK,43848924.0,1990
IND,KWT,72925776.0,1990
IND,IRQ,255942752.0,1990
IND,IRN,538565248.0,1990
IND,AUS,32377172.0,1990
IND,MYS,164778640.0,1990
IND,OMN,34377328.0,1990
IND,ARE,651466624.0,1990
IND,GBR,9510380.0,1990
IND,EGY,35165264.0,1990
IND,SUN,445257728.0,1990
IND,SAU,1102361088.0,1990
ROU,EGY,319249984.0,1990
ROU,SUN,208363008.0,1990
ROU,ARE,82540000.0,1990
ROU,SAU,749350976.0,1990
ROU,LBY,220656992.0,1990
ROU,KWT,39003000.0,1990
ROU,IRQ,127635000.0,1990
ROU,IRN,533526016.0,1990
ROU,SYR,8307000.0,1990
MYS,ARE,47137392.0,1990
MYS,SGP,9903.0,1990
MYS,IND,7085385.0,1990
MYS,SAU,81911261.0,1990
MYS,KWT,23692630.0,1990
MYS,JPN,600.0,1990
MYS,DEU,17900.0,1990
MYS,IDN,13579990.0,1990
KOR,PAN,9329.0,1990
KOR,NTZ,8045115.0,1990
KOR,OMN,1349278976.0,1990
KOR,MEX,67954912.0,1990
KOR,MYS,511013632.0,1990
KOR,KWT,295526464.0,1990
KOR,ISR,1074.0,1990
KOR,QAT,130572384.0,1990
KOR,IDN,454396160.0,1990
KOR,ECU,24600588.0,1990
KOR,CHN,4813154.0,1990
KOR,CAN,38350504.0,1990
KOR,CMR,23544938.0,1990
KOR,BRN,269212544.0,1990
KOR,AUS,13238462.0,1990
KOR,DZA,27560336.0,1990
KOR,GAB,20360190.0,1990
KOR,SAU,1011008064.0,1990
KOR,SGP,6519.0,1990
KOR,THA,21648024.0,1990
KOR,EGY,107930472.0,1990
KOR,ARE,999848576.0,1990
KOR,CHE,722.0,1990
ISR,MEX,210356800.0,1990
CHN,AUS,6110204.0,1990
CHN,MYS,97703132.0,1990
CHN,IDN,259425792.0,1990
CAN,VEN,172877937.0,1990
CAN,USA,124038798.0,1990
CAN,GBR,1710939894.0,1990
CAN,SUN,22574965.0,1990
CAN,ARE,12219303.0,1990
CAN,YMD,11883752.0,1990
CAN,SAU,530451863.0,1990
CAN,NOR,1212397045.0,1990
CAN,NGA,460143687.0,1990
CAN,MEX,48668149.0,1990
CAN,IRL,4452446.0,1990
CAN,IRQ,96289032.0,1990
CAN,DEU,2763735.0,1990
CAN,FIN,4105108.0,1990
CAN,LCA,8027065.0,1990
CAN,AUS,17750900.0,1990
CAN,AGO,48684916.0,1990
CAN,DZA,53083689.0,1990
CAN,CHE,2168.0,1990
SGP,QAT,47943244.0,1990
SGP,PAK,20635234.0,1990
SGP,OMN,355119168.0,1990
SGP,MYS,923662464.0,1990
SGP,KWT,188141280.0,1990
SGP,SAU,2624008704.0,1990
SGP,IRQ,29122872.0,1990
SGP,CHN,522053184.0,1990
SGP,BRN,114184944.0,1990
SGP,AUS,327710304.0,1990
SGP,IRN,284407648.0,1990
SGP,ARE,1319682688.0,1990
SGP,EGY,58420412.0,1990
SGP,IDN,248372096.0,1990
THA,AUS,9781722.0,1990
THA,BRN,177446379.0,1990
THA,IRN,102944182.0,1990
THA,KWT,76225525.0,1990
THA,IRQ,50044852.0,1990
THA,ARE,239448270.0,1990
THA,SAU,231755481.0,1990
THA,QAT,33946977.0,1990
THA,OMN,123935838.0,1990
THA,MYS,477634411.0,1990
DEU,VEN,720145024.0,1990
DEU,FRA,15000.0,1990
DEU,DNK,31856000.0,1990
DEU,CMR,36156000.0,1990
DEU,AUS,24459000.0,1990
DEU,AGO,249838000.0,1990
DEU,DZA,706665984.0,1990
DEU,GAB,39400000.0,1990
DEU,YEM,490358016.0,1990
DEU,IDN,19380000.0,1990
DEU,IRQ,34832000.0,1990
DEU,EGY,50286000.0,1990
DEU,GBR,2632806912.0,1990
DEU,IRN,387216000.0,1990
DEU,SUN,891484032.0,1990
DEU,TUN,12093000.0,1990
DEU,ARE,105208000.0,1990
DEU,SAU,965828992.0,1990
DEU,QAT,18888000.0,1990
DEU,NOR,1296199040.0,1990
DEU,SYR,579507008.0,1990
DEU,OMN,11423000.0,1990
DEU,ITA,6124000.0,1990
DEU,MEX,49767000.0,1990
DEU,MYS,16880000.0,1990
DEU,KWT,48325000.0,1990
DEU,NGA,1188882944.0,1990
DEU,LBY,2056404992.0,1990
DEU,CHE,1415.0,1990
MDG,IRN,32592434.0,1990
CHE,GBR,86484488.0,1990
CHE,SAU,49025680.0,1990
CHE,NOR,151298544.0,1990
CHE,NGA,51270712.0,1990
CHE,LBY,219816480.0,1990
CHE,DZA,10650306.0,1990
ESP,VEN,16724441.0,1990
ESP,USA,13411995.0,1990
ESP,GBR,109178872.0,1990
ESP,EGY,52858840.0,1990
ESP,SUN,687550720.0,1990
ESP,TUN,17855366.0,1990
ESP,ARE,210898032.0,1990
ESP,SYR,5752593.0,1990
ESP,SAU,438947680.0,1990
ESP,GNB,12984668.0,1990
ESP,NGA,1507620480.0,1990
ESP,MEX,1269502848.0,1990
ESP,LBY,859039360.0,1990
ESP,KWT,16613324.0,1990
ESP,ITA,58589232.0,1990
ESP,IRQ,456772160.0,1990
ESP,IRN,850038144.0,1990
ESP,IDN,3502677.0,1990
ESP,DEU,2036.0,1990
ESP,GAB,21079158.0,1990
ESP,FRA,3401865.0,1990
ESP,BEN,6213710.0,1990
ESP,CUB,2569454.0,1990
ESP,COG,64021584.0,1990
ESP,CMR,201474592.0,1990
ESP,AGO,48065540.0,1990
ESP,DZA,384776736.0,1990
VEN,MEX,46478672.0,1990
USA,MYS,288498433.0,1990
USA,MEX,5067146752.0,1990
USA,CAN,4691789711.0,1990
USA,AUS,459616473.0,1990
USA,IDN,892668416.0,1990
TUR,SUN,363323849.0,1990
TUR,TUN,6364117.0,1990
TUR,ARE,183871841.0,1990
TUR,SYR,57139947.0,1990
TUR,SAU,590901258.0,1990
TUR,LBY,479244044.0,1990
TUR,IRQ,946848202.0,1990
TUR,IRN,484482476.0,1990
TUR,DZA,244565652.0,1990
TUR,CHN,137916523.0,1990
ITA,MEX,97052144.0,1990
ITA,CHE,1001.0,1990
ITA,TUR,923503.0,1990
ITA,IDN,18730760.0,1990
FRA,MEX,380254496.0,1990
FRA,CHE,39967.0,1990
FRA,GRC,53456296.0,1990
LKA,DEU,513.0,1990
LKA,IRN,219310064.0,1990
LKA,MYS,63109744.0,1990
FIN,GBR,268862400.0,1990
FIN,IND,12166518.0,1990
FIN,SAU,58524920.0,1990
FIN,NOR,263307776.0,1990
FIN,OMN,107421488.0,1990
FIN,IRN,55447684.0,1990
FIN,ARE,21464216.0,1990
FIN,SUN,852398336.0,1990
CHL,VEN,97815728.0,1990
CHL,NGA,258741952.0,1990
CHL,OMN,12898860.0,1990
CHL,ITA,3258281.0,1990
CHL,GAB,203386192.0,1990
CHL,ECU,50061768.0,1990
CHL,COL,97027728.0,1990
CHL,ARG,63356096.0,1990
CHL,AGO,31741906.0,1990
DNK,NLD,45367824.0,1990
DNK,KWT,162192640.0,1990
DNK,FRA,30023.0,1990
DNK,NOR,280531232.0,1990
DNK,SAU,29829552.0,1990
DNK,GBR,138185312.0,1990
DNK,SUN,5821559.0,1990
NLD,MEX,189888944.0,1990
NLD,CHE,809.0,1990
NLD,DNK,49650784.0,1990
NLD,AUS,21472008.0,1990
NLD,DEU,3000.0,1990
NLD,TUR,3618820.0,1990
CYP,SUN,24236148.0,1990
CYP,IRQ,48121296.0,1990
CYP,DZA,31624340.0,1990
BGD,IDN,639314.0,1990
BGD,NOR,890133.0,1990
BGD,QAT,727408.0,1990
BGD,ARE,165548787.0,1990
BGD,SAU,150223532.0,1990
BRA,VEN,192393632.0,1990
BRA,ARE,104381872.0,1990
BRA,SAU,1500480512.0,1990
BRA,QAT,319032928.0,1990
BRA,NGA,65642904.0,1990
BRA,OMN,50801340.0,1990
BRA,KWT,149807168.0,1990
BRA,IRQ,1004843392.0,1990
BRA,IRN,1019200256.0,1990
BRA,GAB,29368684.0,1990
BRA,CMR,14913358.0,1990
BRA,AGO,94645080.0,1990
BRA,DZA,194289696.0,1990
BRA,CHN,99737768.0,1990
BRA,IDN,2443649.0,1990
GRC,EGY,16492984.0,1990
GRC,TUN,9107859.0,1990
GRC,SAU,169751888.0,1990
GRC,NLD,149560.0,1990
GRC,LBY,259483408.0,1990
GRC,KWT,16435675.0,1990
GRC,IRQ,45932512.0,1990
GRC,IRN,377412832.0,1990
GRC,SUN,64482788.0,1990
GRC,DZA,40199464.0,1990
PHL,MYS,176076309.0,1990
PHL,AUS,9239184.0,1990
PHL,IDN,22270676.0,1990
GTM,MEX,10399750.0,1990
HND,MEX,23646956.0,1990
JAM,MEX,81483264.0,1990
DOM,MEX,85481040.0,1990
CRI,MEX,15389276.0,1990
BEL,MEX,5222399.0,1990
AUT,MEX,8918156.0,1990
AUT,DEU,1000.0,1990
SLV,MEX,44914612.0,1990
DDR,CHE,2168.0,1990
URY,MEX,18663872.0,1990
SWE,DNK,327897472.0,1990
ISL,DNK,733.0,1990
MMR,AUS,21958883.0,1990
HKG,IDN,10820835.0,1990
AUS,YEM,44614634.0,1991
AUS,USA,120429.0,1991
AUS,ARE,232325799.0,1991
AUS,THA,7835607.0,1991
AUS,SGP,9111358.0,1991
AUS,PNG,1741.0,1991
AUS,NZL,156603742.0,1991
AUS,OMN,15861733.0,1991
AUS,MYS,141692104.0,1991
AUS,IDN,320187839.0,1991
AUS,DEU,1323.0,1991
AUS,PYF,878096.0,1991
AUS,CHN,7910644.0,1991
AUS,BRN,51536736.0,1991
AUS,SAU,191594772.0,1991
AUS,VNM,8517314.0,1991
SGP,BRN,171993072.0,1991
SGP,AUS,196516800.0,1991
SGP,CHN,409895744.0,1991
SGP,IRN,304318304.0,1991
SGP,JPN,2083.0,1991
SGP,MYS,846789696.0,1991
SGP,YEM,21078696.0,1991
SGP,ARE,1224161664.0,1991
SGP,SAU,2821738240.0,1991
SGP,QAT,54696048.0,1991
SGP,PAK,15073181.0,1991
SGP,OMN,392934464.0,1991
SGP,IDN,115499312.0,1991
BRN,MYS,21166267.0,1991
IND,YEM,41769912.0,1991
IND,EGY,61558016.0,1991
IND,SUN,193420288.0,1991
IND,ARE,874790912.0,1991
IND,SGP,3518882.0,1991
IND,SAU,884935744.0,1991
IND,PAK,32909502.0,1991
IND,NGA,110084344.0,1991
IND,OMN,30813668.0,1991
IND,MYS,163401728.0,1991
